transaction_id,date_key,product_id,region_id,channel_id,customer_id,quantity,unit_price,unit_cost,gross_revenue,discount_amt,net_revenue,total_cost,gross_profit
1,20250820,4,1,2,31,3,129.0,38.0,387.0,1.16,385.84,114.0,271.84
2,20241203,1,1,1,46,3,1199.0,620.0,3597.0,147.48,3449.52,1860.0,1589.52
3,20240909,2,3,2,53,3,1899.0,980.0,5697.0,17.09,5679.91,2940.0,2739.91
4,20251224,12,2,2,52,2,179.0,22.0,358.0,6.44,351.56,44.0,307.56
5,20240813,3,4,2,4,1,599.0,280.0,599.0,3.59,595.41,280.0,315.41
6,20240406,9,2,1,32,3,149.0,12.0,447.0,20.11,426.89,36.0,390.89
7,20250103,5,1,2,31,2,329.0,110.0,658.0,8.55,649.45,220.0,429.45
8,20240517,3,2,3,57,10,599.0,280.0,5990.0,551.08,5438.92,2800.0,2638.92
9,20240911,4,2,1,22,3,129.0,38.0,387.0,5.03,381.97,114.0,267.97
10,20251113,9,2,2,2,1,149.0,12.0,149.0,4.32,144.68,12.0,132.68
11,20240509,10,3,2,23,2,89.0,6.0,178.0,5.52,172.48,12.0,160.48
12,20240707,6,1,2,16,1,49.0,14.0,49.0,1.52,47.48,14.0,33.48
13,20241007,10,2,2,22,2,89.0,6.0,178.0,5.16,172.84,12.0,160.84
14,20250512,3,3,1,13,3,599.0,280.0,1797.0,89.85,1707.15,840.0,867.15
15,20250726,7,2,1,27,4,99.0,8.0,396.0,21.78,374.22,32.0,342.22
16,20250617,9,1,2,16,3,149.0,12.0,447.0,17.43,429.57,36.0,393.57
17,20240421,10,1,2,11,2,89.0,6.0,178.0,4.45,173.55,12.0,161.55
18,20240417,5,5,3,5,8,329.0,110.0,2632.0,221.09,2410.91,880.0,1530.91
19,20241110,2,3,2,38,1,1899.0,980.0,1899.0,91.15,1807.85,980.0,827.85
20,20240925,4,3,1,28,2,129.0,38.0,258.0,5.93,252.07,76.0,176.07
21,20241117,2,5,2,55,1,1899.0,980.0,1899.0,11.39,1887.61,980.0,907.61
22,20250502,7,2,2,42,1,99.0,8.0,99.0,3.86,95.14,8.0,87.14
23,20251001,1,1,1,56,3,1199.0,620.0,3597.0,10.79,3586.21,1860.0,1726.21
24,20241210,6,2,3,22,22,49.0,14.0,1078.0,176.79,901.21,308.0,593.21
25,20250117,2,5,2,35,1,1899.0,980.0,1899.0,87.35,1811.65,980.0,831.65
26,20240301,7,1,1,41,3,99.0,8.0,297.0,10.4,286.6,24.0,262.6
27,20250901,9,3,3,38,46,149.0,12.0,6854.0,671.69,6182.31,552.0,5630.31
28,20250815,4,2,2,22,1,129.0,38.0,129.0,6.58,122.42,38.0,84.42
29,20240816,4,2,1,27,2,129.0,38.0,258.0,5.42,252.58,76.0,176.58
30,20240815,10,4,1,4,1,89.0,6.0,89.0,5.25,83.75,6.0,77.75
31,20241101,7,3,1,18,1,99.0,8.0,99.0,1.98,97.02,8.0,89.02
32,20240214,10,2,2,42,1,89.0,6.0,89.0,3.2,85.8,6.0,79.8
33,20240515,3,3,2,58,2,599.0,280.0,1198.0,51.51,1146.49,560.0,586.49
34,20250425,4,3,1,28,2,129.0,38.0,258.0,14.96,243.04,76.0,167.04
